County,Date,Connections
Mayo,2016,18
Meath,2016,20
Monaghan,2016,9
Offaly,2016,11
Roscommon,2016,10
Sligo,2016,13
South Dublin,2016,20
Tipperary,2016,29
Waterford City and County,2016,16
Westmeath,2016,14
Wexford,2016,47
Wicklow,2016,21
Cork,2016,25
Dublin,2016,87
Galway,2016,5
TOTALS,2016,920
Carlow ,Unnamed: 28,7
Cavan,Unnamed: 28,21
Clare,Unnamed: 28,19
Cork,Unnamed: 28,89
Donegal,Unnamed: 28,35
D/L Rathdown,Unnamed: 28,173
Fingal,Unnamed: 28,130
Galway,Unnamed: 28,51
Kerry,Unnamed: 28,27
Kildare,Unnamed: 28,45
Kilkenny,Unnamed: 28,14
Laois,Unnamed: 28,22
Leitrim,Unnamed: 28,8
Limerick City and County,Unnamed: 28,29
Longford,Unnamed: 28,23
Louth,Unnamed: 28,22
Mayo,Unnamed: 28,39
Meath,Unnamed: 28,53
Monaghan,Unnamed: 28,11
